name,jain,vegetarian,vegan,jain_reason,vegetarian_reason,vegan_reason
retinol,maybe,maybe,no,Vitamin A form that can be synthetic or animal-derived,Vitamin A form that can be synthetic or animal-derived,Often derived from animal liver
riboflavin,yes,yes,yes,Vitamin B2 - can be synthetic or plant-derived,Vitamin B2 - can be synthetic or plant-derived,Vitamin B2 - can be synthetic or plant-derived
ribonucleic acid,maybe,maybe,no,RNA that can be plant/microbial or animal-derived,RNA that can be plant/microbial or animal-derived,Often derived from animal sources
rice,yes,yes,yes,Plant-based cereal grain,Plant-based cereal grain,Plant-based cereal grain
rna,maybe,maybe,no,Ribonucleic acid that can be plant/microbial or animal-derived,Ribonucleic acid that can be plant/microbial or animal-derived,Often derived from animal sources
rosewater,yes,yes,yes,Plant-based floral water from rose petals,May be processed with non-vegetarian processing aids,Plant-based floral water from rose petals
royal jelly,maybe,maybe,no,Bee secretion - animal-derived product,Bee secretion - animal-derived product,Secretion from worker bees
rutabaga,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
rutabagas,no,yes,yes,Root vegetables that grow underground - not suitable for Jain diet,Plant-based root vegetables,Plant-based root vegetables
sable brushes,maybe,maybe,no,Made from animal fur (sable),Made from animal fur (sable),Made from animal fur
sait,yes,yes,yes,Salt - mineral compound naturally occurring,Salt - mineral compound naturally occurring,Salt - mineral compound naturally occurring
salsify,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
salt,yes,yes,yes,Mineral compound - naturally occurring,Mineral compound - naturally occurring,Mineral compound - naturally occurring
saturated fat,maybe,maybe,no,Fat that can be plant or animal-derived,Fat that can be plant or animal-derived,Often contains animal-derived fats
saturated fats,maybe,maybe,no,Fats that can be plant or animal-derived,Fats that can be plant or animal-derived,Often contains animal-derived fats
saturated fatty acids,maybe,maybe,no,Fatty acids that can be plant or animal-derived,Fatty acids that can be plant or animal-derived,Often contains animal-derived components
saturated oils,maybe,maybe,no,Oils that can be plant or animal-derived,Oils that can be plant or animal-derived,May contain animal-derived oils
saturated wax,maybe,maybe,no,Wax that can be plant or animal-derived,Wax that can be plant or animal-derived,Often contains animal-derived wax
saturated wax-like compounds,maybe,maybe,no,Compounds that can be plant or animal-derived,Compounds that can be plant or animal-derived,Often contains animal-derived components
saturated waxes,maybe,maybe,no,Waxes that can be plant or animal-derived,Waxes that can be plant or animal-derived,Often contains animal-derived wax
sea salt,yes,yes,yes,Mineral salt from ocean water - naturally occurring,Mineral salt from ocean water - naturally occurring,Mineral salt from ocean water - naturally occurring
sea turtle oil,maybe,maybe,no,Oil extracted from sea turtle fat,Oil extracted from sea turtle fat,Derived from sea turtle fat
sesame,yes,yes,yes,Plant-based seed - naturally occurring,Plant-based seed - naturally occurring,Plant-based seed - naturally occurring
sesame seed,yes,yes,yes,Plant-based seed used as food and oil source,Plant-based seed used as food and oil source,Plant-based seed used as food and oil source
shallot,no,yes,yes,Bulb that grows underground - not suitable for Jain diet,Plant-based vegetable from onion family,Plant-based vegetable from onion family
shark liver oil,maybe,maybe,no,Oil extracted from shark liver,Oil extracted from shark liver,Derived from shark organs
sheepskin,maybe,maybe,no,Animal hide from sheep,Animal hide from sheep,Made from animal hide
shellac,maybe,maybe,no,Resin secreted by lac insects,Resin secreted by lac insects,Derived from insect secretions
silk,maybe,maybe,no,Protein fiber produced by silkworms,Protein fiber produced by silkworms,Derived from silkworm cocoons
silk powder,maybe,maybe,no,Powdered silk protein from silkworm cocoons,Powdered silk protein from silkworm cocoons,Derived from silkworm cocoons
skim milk,yes,yes,no,Low-fat milk - dairy-derived but vegetarian-acceptable,Low-fat milk - dairy-derived but vegetarian-acceptable,Derived from animal milk
skirret,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
snails,maybe,maybe,no,Mollusk - animal organism,Mollusk - animal organism,Animal organism
sodium caseinate,maybe,maybe,no,Milk protein derivative,Milk protein derivative,Derived from animal milk protein
sodium citrate,yes,yes,yes,Salt of citric acid - can be plant-derived,Salt of citric acid - can be plant-derived,Salt of citric acid - can be plant-derived
sodium steroyl lactylate,maybe,maybe,no,Food additive that may contain animal-derived components,Food additive that may contain animal-derived components,Often contains animal-derived lactic acid
sodium tallowate,maybe,maybe,no,Soap ingredient derived from animal tallow,Soap ingredient derived from animal tallow,Derived from animal fat
sorbito,yes,yes,yes,Sugar alcohol - can be plant-derived,May be processed with non-vegetarian processing aids,Sugar alcohol - can be plant-derived
sorbitol may also contain allspice,yes,yes,yes,Sugar alcohol with plant-based spice,May be processed with non-vegetarian processing aids,Sugar alcohol with plant-based spice
sour cream,no,yes,no,Fermented dairy product may harm microorganisms,Dairy product - vegetarian-acceptable,Made from animal milk
soy,yes,yes,yes,Plant-based legume - naturally occurring,Plant-based legume - naturally occurring,Plant-based legume - naturally occurring
soy lecithin,yes,yes,yes,Plant-based emulsifier from soybeans,Plant-based emulsifier from soybeans,Plant-based emulsifier from soybeans
soybeans,yes,yes,yes,Plant-based legume - naturally occurring protein source,Plant-based legume - naturally occurring protein source,Plant-based legume - naturally occurring protein source
sperm oil,maybe,maybe,no,Oil derived from sperm whale,Oil derived from sperm whale,Derived from whale organs
spermaceti,maybe,maybe,no,Waxy substance from sperm whale head,Waxy substance from sperm whale head,Derived from whale organs
spice extractives,yes,yes,yes,Plant-based concentrated spice extracts,Plant-based concentrated spice extracts,Plant-based concentrated spice extracts
spices,yes,yes,yes,Plant-based seasonings and flavorings,Plant-based seasonings and flavorings,Plant-based seasonings and flavorings
spinach,yes,yes,yes,Leafy green vegetable - plant-based,Leafy green vegetable - plant-based,Leafy green vegetable - plant-based
spirulina,no,yes,yes,Blue-green algae may involve microorganism cultivation,Blue-green algae - plant-kingdom organism,Blue-green algae - plant-kingdom organism
sponge (luna and sea),maybe,maybe,no,Marine animal - filter-feeding organism,Marine animal - filter-feeding organism,Marine animal organism
squalane,maybe,maybe,no,Hydrocarbon that can be synthetic or shark-derived,Hydrocarbon that can be synthetic or shark-derived,Often derived from shark liver oil
squalene,maybe,maybe,no,Compound that can be synthetic or shark-derived,Compound that can be synthetic or shark-derived,Often derived from shark liver oil
star anise,yes,yes,yes,Plant-based spice - naturally occurring,May be processed with non-vegetarian processing aids,Plant-based spice - naturally occurring
staranise,yes,yes,yes,Plant-based spice - naturally occurring,May be processed with non-vegetarian processing aids,Plant-based spice - naturally occurring
stearamide,maybe,maybe,no,Fatty acid derivative that can be plant or animal-derived,Fatty acid derivative that can be plant or animal-derived,Often contains animal-derived components
stearamine,maybe,maybe,no,Fatty acid derivative that can be plant or animal-derived,Fatty acid derivative that can be plant or animal-derived,Often contains animal-derived components
stearamine oxide,maybe,maybe,no,Synthetic compound that may use animal-derived starting materials,Synthetic compound that may use animal-derived starting materials,Often contains animal-derived components
stearates,maybe,maybe,no,Fatty acid salts that can be plant or animal-derived,Fatty acid salts that can be plant or animal-derived,Often contains animal-derived components
stearic acid,maybe,maybe,no,Fatty acid that can be plant or animal-derived,Fatty acid that can be plant or animal-derived,Often contains animal-derived components
stearic hydrazide,maybe,maybe,no,Chemical compound that may use animal-derived starting materials,Chemical compound that may use animal-derived starting materials,Often contains animal-derived components
stearone,maybe,maybe,no,Ketone that can be plant or animal-derived,Ketone that can be plant or animal-derived,Often contains animal-derived components
stearoxytrimethylsilane,maybe,maybe,no,Silicone compound that may use animal-derived starting materials,Silicone compound that may use animal-derived starting materials,Often contains animal-derived components
stearoyl lactylic acid,maybe,maybe,no,Food additive that may contain animal-derived components,Food additive that may contain animal-derived components,Often contains animal-derived lactic acid
stearyl acetate,maybe,maybe,no,Ester compound that can be plant or animal-derived,Ester compound that can be plant or animal-derived,Often contains animal-derived components
stearyl alcohol,maybe,maybe,no,Fatty alcohol that can be plant or animal-derived,Fatty alcohol that can be plant or animal-derived,Often contains animal-derived components
stearyl betaine,maybe,maybe,no,Surfactant that may use animal-derived starting materials,Surfactant that may use animal-derived starting materials,Often contains animal-derived components
stearyl caprylate,maybe,maybe,no,Ester compound that can be plant or animal-derived,Ester compound that can be plant or animal-derived,Often contains animal-derived components
stearyl citrate,maybe,maybe,no,Ester compound that can be plant or animal-derived,Ester compound that can be plant or animal-derived,Often contains animal-derived components
stearyl glycyrrhetinate,maybe,maybe,no,Complex ester that may use animal-derived starting materials,Complex ester that may use animal-derived starting materials,Often contains animal-derived components
stearyl heptanoate,maybe,maybe,no,Ester compound that can be plant or animal-derived,Ester compound that can be plant or animal-derived,Often contains animal-derived components
stearyl imidazoline,maybe,maybe,no,Synthetic compound that may use animal-derived starting materials,Synthetic compound that may use animal-derived starting materials,Often contains animal-derived components
stearyl octanoate,maybe,maybe,no,Ester compound that can be plant or animal-derived,Ester compound that can be plant or animal-derived,Often contains animal-derived components
stearyl stearate,maybe,maybe,no,Ester compound that can be plant or animal-derived,Ester compound that can be plant or animal-derived,Often contains animal-derived components
stearyldimethyl amine,maybe,maybe,no,Amine compound that may use animal-derived starting materials,Amine compound that may use animal-derived starting materials,Often contains animal-derived components
steroids,maybe,maybe,no,Hormonal compounds that can be synthetic or animal-derived,Hormonal compounds that can be synthetic or animal-derived,Often derived from animal sources
sterols,maybe,maybe,no,Steroid alcohols that can be plant or animal-derived,Steroid alcohols that can be plant or animal-derived,Often contains animal-derived components
strawberry,yes,yes,yes,Berry fruit - plant-based and naturally occurring,Berry fruit - plant-based and naturally occurring,Berry fruit - plant-based and naturally occurring
sucralose,yes,yes,yes,Artificial sweetener - synthetic compound,May be processed with non-vegetarian processing aids,Artificial sweetener - synthetic compound
suede,maybe,maybe,no,Leather with napped finish - animal hide,Leather with napped finish - animal hide,Made from animal hide
sugar,yes,yes,yes,Plant-based sweetener from sugarcane or sugar beet,Plant-based sweetener from sugarcane or sugar beet,Plant-based sweetener from sugarcane or sugar beet
sugar cane,yes,yes,yes,Plant-based source of sugar - naturally occurring,Plant-based source of sugar - naturally occurring,Plant-based source of sugar - naturally occurring
sunflower oil,yes,yes,yes,Plant-based oil extracted from sunflower seeds,Plant-based oil extracted from sunflower seeds,Plant-based oil extracted from sunflower seeds
sunflower seeds,yes,yes,yes,Plant-based seeds - naturally occurring,Plant-based seeds - naturally occurring,Plant-based seeds - naturally occurring
suran,no,yes,yes,Root tuber that grows underground - not suitable for Jain diet,Plant-based root vegetable (elephant foot yam),Plant-based root vegetable (elephant foot yam)
sweet potato,no,yes,yes,Root tuber that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
tallow,maybe,maybe,no,Rendered fat from cattle or sheep,Rendered fat from cattle or sheep,Animal-derived fat
tallow acid,maybe,maybe,no,Fatty acid derived from animal tallow,Fatty acid derived from animal tallow,Derived from animal fat
tallow amide,maybe,maybe,no,Chemical derivative of animal tallow,Chemical derivative of animal tallow,Derived from animal fat
tallow amine,maybe,maybe,no,Chemical derivative of animal tallow,Chemical derivative of animal tallow,Derived from animal fat
tallow fatty alcohol,maybe,maybe,no,Alcohol derived from animal tallow,Alcohol derived from animal tallow,Derived from animal fat
tallow glycerides,maybe,maybe,no,Glycerol esters derived from animal tallow,Glycerol esters derived from animal tallow,Derived from animal fat
tallow imidazoline,maybe,maybe,no,Synthetic compound derived from animal tallow,Synthetic compound derived from animal tallow,Derived from animal fat
talloweth-6,maybe,maybe,no,Ethoxylated compound derived from animal tallow,Ethoxylated compound derived from animal tallow,Derived from animal fat
tamarind,yes,yes,yes,Plant-based fruit used as spice and flavoring,Plant-based fruit used as spice and flavoring,Plant-based fruit used as spice and flavoring
tapioca syrup,yes,yes,yes,Plant-based sweetener from cassava root,Plant-based sweetener from cassava root,Plant-based sweetener from cassava root
taro,no,yes,yes,Root tuber that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
tbhq to maintain freshness,yes,yes,yes,Synthetic antioxidant preservative,Synthetic antioxidant preservative,Synthetic antioxidant preservative
thiamin,yes,yes,yes,Vitamin B1 - can be synthetic or plant-derived,Vitamin B1 - can be synthetic or plant-derived,Vitamin B1 - can be synthetic or plant-derived
thyme,yes,yes,yes,Plant-based herb - naturally occurring,May be processed with non-vegetarian processing aids,Plant-based herb - naturally occurring
titanium dioxide,yes,yes,yes,Mineral-based white pigment,May be processed with non-vegetarian processing aids,Mineral-based white pigment
tocopherols,yes,yes,yes,Vitamin E compounds - can be plant-derived,Vitamin E compounds - can be plant-derived,Vitamin E compounds - can be plant-derived
tofu,yes,yes,yes,Plant-based protein from soybeans,Plant-based protein from soybeans,Plant-based protein from soybeans
togarashi,yes,yes,yes,Japanese spice blend - plant-based,May contain processing aids of unknown origin,Japanese spice blend - plant-based
tomatoes,yes,yes,yes,Plant-based fruit vegetable - naturally occurring,Plant-based fruit vegetable - naturally occurring,Plant-based fruit vegetable - naturally occurring
toor,yes,yes,yes,Pigeon pea - plant-based legume,Pigeon pea - plant-based legume,Pigeon pea - plant-based legume
toor dal,yes,yes,yes,Split pigeon pea - plant-based legume,Split pigeon pea - plant-based legume,Split pigeon pea - plant-based legume
triterpene alcohols,maybe,maybe,no,Plant sterols that can be plant or synthetic,Plant sterols that can be plant or synthetic,May contain animal-derived components
turkey,no,no,no,Poultry meat - explicitly non-vegetarian,Poultry meat - explicitly non-vegetarian,Poultry meat - explicitly non-vegetarian
turmeric,yes,yes,yes,Plant-based spice from rhizome - naturally occurring,Plant-based spice from rhizome - naturally occurring,Plant-based spice from rhizome - naturally occurring
turmeric powder,yes,yes,yes,Ground plant-based spice - naturally occurring,Ground plant-based spice - naturally occurring,Ground plant-based spice - naturally occurring
turnip,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
turnips,no,yes,yes,Root vegetables that grow underground - not suitable for Jain diet,Plant-based root vegetables,Plant-based root vegetables
turtle oil,maybe,maybe,no,Oil extracted from turtle fat,Oil extracted from turtle fat,Derived from turtle fat
tyrosine,maybe,maybe,no,Amino acid that can be synthetic or animal-derived,Amino acid that can be synthetic or animal-derived,Often derived from animal proteins
ulluco,no,yes,yes,Root tuber that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
unsweetened chocolate,yes,yes,no,Plant-based cocoa product from cacao beans,Plant-based cocoa product from cacao beans,Often processed with milk derivatives
urad dal,yes,yes,yes,Black gram lentil - plant-based legume,Black gram lentil - plant-based legume,Black gram lentil - plant-based legume
urea,maybe,maybe,no,Compound that can be synthetic or animal-derived,Compound that can be synthetic or animal-derived,Often derived from animal urine
uric acid,maybe,maybe,no,Compound that can be synthetic or animal-derived,Compound that can be synthetic or animal-derived,Often derived from animal sources
vanilla,yes,yes,yes,Plant-based flavoring from vanilla orchid pods,Plant-based flavoring from vanilla orchid pods,Plant-based flavoring from vanilla orchid pods
vanilla extract,yes,yes,yes,Plant-based extract from vanilla pods in alcohol,Plant-based extract from vanilla pods in alcohol,Plant-based extract from vanilla pods in alcohol
vanillin,yes,yes,yes,Flavoring compound - can be plant-derived or synthetic,Flavoring compound - can be plant-derived or synthetic,Flavoring compound - can be plant-derived or synthetic
vegetable juice,yes,yes,yes,Plant-based liquid from vegetables,Plant-based liquid from vegetables,Plant-based liquid from vegetables
vegetable oil,yes,yes,yes,Plant-based oil from various plant sources,Plant-based oil from various plant sources,Plant-based oil from various plant sources
vinegar,yes,yes,yes,Plant-based acid from fermented plant materials,Plant-based acid from fermented plant materials,Plant-based acid from fermented plant materials
vitamin a,no,yes,no,May involve harm to microorganisms during fermentation,Essential vitamin - can be plant or synthetic,Often derived from animal liver or dairy
vitamin a palmitate,no,yes,no,May involve harm to microorganisms during processing,Vitamin A ester - can be synthetic,Often derived from animal sources
vitamin b 12,maybe,maybe,no,Vitamin produced by bacteria - source verification needed,Vitamin produced by bacteria - source verification needed,Often derived from animal products or requires animal testing
vitamin b factor,maybe,maybe,no,B-vitamin complex - source verification needed,B-vitamin complex - source verification needed,Often derived from animal sources
vitamin b-complex factor,maybe,maybe,no,Multiple B-vitamins - source verification needed,Multiple B-vitamins - source verification needed,Often derived from animal sources
vitamin b1,yes,yes,yes,Thiamine - can be synthetic or plant-derived,Thiamine - can be synthetic or plant-derived,Thiamine - can be synthetic or plant-derived
vitamin b12,no,yes,no,May involve bacterial processes that harm microorganisms,Essential vitamin - can be synthetic or bacterial,Often derived from animal products
vitamin b2,yes,yes,yes,Riboflavin - can be synthetic or plant-derived,Riboflavin - can be synthetic or plant-derived,Riboflavin - can be synthetic or plant-derived
vitamin b6,yes,yes,yes,Pyridoxine - can be synthetic or plant-derived,Pyridoxine - can be synthetic or plant-derived,Pyridoxine - can be synthetic or plant-derived
vitamin c,yes,yes,yes,Ascorbic acid - can be synthetic or plant-derived,Ascorbic acid - can be synthetic or plant-derived,Ascorbic acid - can be synthetic or plant-derived
vitamin d,maybe,maybe,no,Can be synthetic or derived from animal sources,Can be synthetic or derived from animal sources,Often derived from sheep wool lanolin or fish
vitamin d 2,maybe,maybe,no,Ergocalciferol - can be synthetic or plant-derived,Ergocalciferol - can be synthetic or plant-derived,May involve animal-derived processing aids
vitamin d3,no,yes,no,May involve harm during bacterial synthesis processes,Cholecalciferol - can be plant or synthetic,Often derived from sheep wool lanolin
vitamin e,no,yes,no,May involve microorganism processes,Tocopherol - can be plant-derived or synthetic,Often contains animal-derived processing aids
vitamin e acetate,yes,yes,yes,Synthetic form of vitamin E,Synthetic form of vitamin E,Synthetic form of vitamin E
vitamin h,maybe,maybe,no,Biotin - can be synthetic or derived from various sources,Biotin - can be synthetic or derived from various sources,Often derived from animal sources
walnuts,yes,yes,yes,Tree nut - plant-based and naturally occurring,Tree nut - plant-based and naturally occurring,Tree nut - plant-based and naturally occurring
wasabi,no,yes,yes,Root plant that grows underground - not suitable for Jain diet,Plant-based condiment from wasabi root,Plant-based condiment from wasabi root
water,yes,yes,yes,Natural compound - essential for all life,Natural compound - essential for all life,Natural compound - essential for all life
wax,maybe,maybe,no,Can be plant-based (carnauba) or animal-derived (beeswax),Can be plant-based (carnauba) or animal-derived (beeswax),Often derived from bees or other animal sources
wheat,yes,yes,yes,Plant-based cereal grain,Plant-based cereal grain,Plant-based cereal grain
wheat flour,yes,yes,yes,Ground plant-based grain,Ground plant-based grain,Ground plant-based grain
wheat syrup,yes,yes,yes,Plant-based sweetener from wheat,Plant-based sweetener from wheat,Plant-based sweetener from wheat
whey,yes,yes,no,Milk derivative - dairy but vegetarian-acceptable,Milk derivative - dairy but vegetarian-acceptable,Derived from animal milk
whole milk powder,yes,yes,no,Dried milk - dairy but vegetarian-acceptable,Dried milk - dairy but vegetarian-acceptable,Derived from animal milk
whole wheat,yes,yes,yes,Complete plant-based grain,Complete plant-based grain,Complete plant-based grain
wool,maybe,maybe,no,Animal fiber from sheep fleece,Animal fiber from sheep fleece,Animal-derived fiber
wool fat,maybe,maybe,no,Lanolin from sheep wool - animal-derived,Lanolin from sheep wool - animal-derived,Derived from sheep wool
wool wax,maybe,maybe,no,Lanolin from sheep wool - animal-derived,Lanolin from sheep wool - animal-derived,Derived from sheep wool
yam,no,yes,yes,Root tuber that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
yeast,yes,yes,yes,Fungal microorganism - plant-kingdom acceptable,Fungal microorganism - plant-kingdom acceptable,Fungal microorganism - plant-kingdom acceptable
yellow 5,yes,yes,yes,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived
yellow 5 lake,yes,yes,yes,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived
yellow 6,yes,yes,yes,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived
yellow 6 lake,yes,yes,yes,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived,Synthetic food coloring - not animal-derived
yogurt,yes,yes,no,Fermented dairy product - vegetarian-acceptable,Fermented dairy product - vegetarian-acceptable,Made from animal milk
zucchini,yes,yes,yes,Plant-based squash vegetable - above-ground,Plant-based squash vegetable - above-ground,Plant-based squash vegetable - above-ground
natural flavor,maybe,maybe,maybe,"Source may be plant, animal, or microbial; not disclosed",Could be from plant or animal origin,"Could be from animal (e.g., dairy, meat extract)"
artificial flavor,maybe,maybe,maybe,"Synthetic origin, but may be processed with animal derivatives","Often synthetic, but animal-derived carriers sometimes used","Often synthetic, but animal-derived carriers sometimes used"
natural and artificial flavor,maybe,maybe,maybe,"Synthetic origin, but may be processed with animal derivatives","Often synthetic, but animal-derived carriers sometimes used","Often synthetic, but animal-derived carriers sometimes used"
natural color,maybe,maybe,maybe,"Some (e.g., beetroot) are Jain; others (e.g., turmeric) are not","Usually plant-derived, but not always","Some, like carmine (from insects), are not vegan"
artificial color,maybe,maybe,maybe,"Synthetic, but may be tested on animals or use bone char in processing",Typically not animal-derived,Some tested on animals or contain non-vegan carriers
natural and artificial color,maybe,maybe,maybe,Combined uncertainties of both categories,"May include non-veg colorants (e.g., cochineal)",Vegan status depends on exclusion of insect- or animal-derived pigments
natural flavors,maybe,maybe,maybe,Plural doesnt change the ambiguity  still undefined source,"Often synthetic, but animal-derived carriers sometimes used","Often synthetic, but animal-derived carriers sometimes used"
artificial flavors,maybe,maybe,maybe,"Synthetic origin, but may be processed with animal derivatives",Same  depends on specific formulation,may use hidden animal derivatives
natural and artificial flavors,maybe,maybe,maybe,"Blend can include animal, plant, or synthetic origins","Often synthetic, but animal-derived carriers sometimes used","Often synthetic, but animal-derived carriers sometimes used"
natural colors,maybe,maybe,maybe,"Some may be Jain, others (e.g., root/tuber extracts) may not","Usually plant-derived, but not always","Usually plant-derived, but not always"
artificial colors,maybe,maybe,maybe,Synthetics are not always Jain-approved need to verify it,"Not animal-derived, generally",Some tested on animals or use non-vegan stabilizers
natural and artificial colors,maybe,maybe,maybe,"Blend can include animal, plant, or synthetic origins",Could be from either animal or plant or synthetic,"Blend can include animal, plant, or synthetic origins"
filtered lowfat grade a milk,yes,yes,no,Milk,Milk,Milk isnt vegan
alkalized cocoa powder,yes,yes,yes,cocoa powder is jain,cocoa powder is vegetarian,cocoa powder is vegan
monk fruit juice concentrate,yes,yes,yes,,,
stevia leaf extract,yes,yes,yes,,,
cellulose gel,yes,yes,yes,,,
cellulose gum,yes,yes,yes,,,
lactase enzyme,yes,yes,yes,,,
protein,yes,yes,yes,,,
milk protein concentrate,yes,yes,yes,,,
calcium caseinate,yes,yes,yes,,,
high oleic sunflower oil,yes,yes,yes,,,
soybean oil,yes,yes,yes,,,
natural,yes,yes,yes,,,
cellulose gel,yes,yes,yes,,,
cellulose gum,yes,yes,yes,,,
tripotassium phosphate,yes,yes,yes,,,
dipotassium phosphate,yes,yes,yes,,,
sodium hexametaphosphate,yes,yes,yes,,,
vitamin,yes,yes,yes,,,
dlalphatocopheryl acetate,yes,yes,yes,,,
zinc glycinate chelate,yes,yes,yes,,,
ferric orthophosphate,yes,yes,yes,,,
vitamin k1,yes,yes,yes,,,
phytonadione,yes,yes,yes,,,
potassium iodide,yes,yes,yes,,,
cholecalciferol,yes,yes,yes,,,
copper gluconate,yes,yes,yes,,,
calcium dpantothenate,yes,yes,yes,,,
manganese sulfate,yes,yes,yes,,,
sodium selenite,yes,yes,yes,,,
sodium molybdate,yes,yes,yes,,,
folic acid,yes,yes,yes,,,
thiamine mononitrate,yes,yes,yes,,,
cyanocobalamin,yes,yes,yes,,,
chromium polynicotinate,yes,yes,yes,,,
mineral blend,yes,yes,yes,,,
magnesium phosphate,yes,yes,yes,,,
sodium ascorbate,yes,yes,yes,,,
choline chloride contains milk,yes,yes,yes,,,
soy source of protein,yes,yes,yes,,,
liquid sugar,yes,yes,yes,,,
egg yolks,no,no,no,,,
cocoa,yes,yes,yes,,,
fruit,yes,yes,yes,,,
vegetable concentrates,yes,yes,yes,,,
guar gum,yes,yes,yes,,,
lemon juice concentrate,yes,yes,yes,,,
citric acid,yes,yes,yes,,,
milk fat,yes,yes,no,,,
vanilla extract contains egg,no,no,no,,,
paprika extract,yes,yes,yes,,,
calcium lactate,yes,yes,yes,,,
less calcium silicate,yes,yes,yes,,,
anticaking agent,yes,yes,yes,,,
silicon dioxide,yes,yes,yes,,,
cheddar seasoning,yes,yes,yes,,,
sodium diacetate,yes,yes,yes,,,
malic acid,yes,yes,yes,,,
gum arabic,yes,yes,yes,,,
calcium silicate,yes,yes,yes,,,
calcium stearate,yes,yes,yes,,,
paprika,yes,yes,yes,,,
tomato powder,yes,yes,yes,,,
disodium inosinate,yes,yes,yes,,,
guanylate,yes,yes,yes,,,
bbq seasoning,no,no,no,,,
black currant concentrate,yes,yes,yes,,,
apple juice concentrate,yes,yes,yes,,,
hot spicy seasoning,yes,yes,yes,,,
maize,yes,yes,yes,,,
sodium bicarbonate,yes,yes,yes,,,
sodium pyrophosphate,yes,yes,yes,,,
rosemary extract,yes,yes,yes,,,
sodium hydroxide,yes,yes,yes,,,
apple puree,yes,yes,yes,,,
cherry juice,yes,yes,yes,,,
pectin,yes,yes,yes,,,
xanthan gum,no,yes,yes,,,
